lambda, n, k
275.6, 2.32, 0.5
281.8, 2.3, 0.2
288.4, 2.1, 0.12
295.2, 2, 0.11
310, 1.91, 0.1
330.7, 1.86, 0.09
354.3, 1.81, 0.089
367.4, 1.775, 0.1
387.5, 1.8, 0.11
413.3, 1.86, 0.12
435.1, 1.87, 0.08
467.9, 1.8, 0
496, 1.76, 0
620, 1.72, 0
826.7, 1.69, 0
1240, 1.67, 0
